Date/Month,N_CB,N_D,N_F,N_MF,N_H,N_Hydro,N_MP,N_T,N_LI,N_NI,N_I,N_Muf,N_O,sensitive_float,sensitive_index,nepse_index,M_C,M_MP,M_H,M_O,M_Hydro,M_T,M_LI,M_NI,M_F,M_MF,M_D,M_I,marketcap_total
2003-07-17,199.33,247.49,207.93,0.0,196.68,0.0,250.13,94.56,240.64,0.0,0.0,0.0,48.56,0.0,0.0,204.41,21376.03,1002.37,4731.3,2550.61,0.0,488.02,2388.54,0.0,2558.56,0.0,67.26,0.0,35162.7
2003-07-18,199.19,243.22,207.56,0.0,196.68,0.0,250.13,94.56,240.94,0.0,0.0,0.0,48.56,0.0,0.0,204.31,21360.54,1002.37,4731.3,2550.61,0.0,488.02,2391.54,0.0,2554.01,0.0,67.26,0.0,35145.65
2003-07-21,198.38,243.22,206.12,0.0,196.68,0.0,250.13,94.29,241.25,0.0,0.0,0.0,48.56,0.0,0.0,203.69,21274.3,998.05,4731.3,2550.61,0.0,486.66,2394.64,0.0,2536.29,0.0,67.26,0.0,35309.11
2003-07-22,198.31,242.57,205.19,0.0,196.68,0.0,250.13,94.29,241.0,0.0,0.0,0.0,48.56,0.0,0.0,203.56,21266.15,998.05,4731.3,2550.61,0.0,486.66,2392.14,0.0,2524.84,0.0,67.26,0.0,35017.01
2003-07-23,198.24,242.17,205.21,0.0,196.68,0.0,250.13,94.29,241.25,0.0,0.0,0.0,49.2,0.0,0.0,203.54,21258.6,998.05,4731.3,2550.61,0.0,486.66,2394.64,0.0,2525.04,0.0,68.15,0.0,35013.05
2003-07-24,198.03,242.17,204.8,0.0,195.91,0.0,250.13,94.29,241.47,0.0,0.0,0.0,49.2,0.0,0.0,203.29,21236.15,990.05,4731.3,2540.61,0.0,486.66,2396.82,0.0,2520.04,0.0,68.15,0.0,34969.77
2003-07-25,197.76,240.23,204.67,0.0,195.91,0.0,250.13,95.61,241.25,0.0,0.0,0.0,49.2,0.0,0.0,203.19,21207.84,998.05,4731.3,2540.61,0.0,493.48,2394.62,0.0,2518.39,0.0,68.15,0.0,34952.44
2003-07-28,198.1,242.17,204.32,0.0,195.91,0.0,249.71,99.37,239.17,0.0,0.0,0.0,49.2,0.0,0.0,203.37,21244.02,1006.05,4723.5,2540.61,0.0,512.87,2373.95,0.0,2514.19,0.0,68.15,0.0,34983.33
2003-07-29,197.39,244.12,205.69,0.0,195.91,0.0,249.71,99.37,239.11,0.0,0.0,0.0,49.2,0.0,0.0,202.98,21167.59,999.97,4723.5,2540.61,0.0,512.87,2373.33,0.0,2530.99,0.0,68.15,0.0,34917.0
2003-07-30,197.2,242.64,205.69,0.0,195.91,0.0,249.71,99.37,237.44,0.0,0.0,0.0,49.2,0.0,0.0,202.77,21147.86,999.97,4723.5,2540.61,0.0,512.87,2356.83,0.0,2530.99,0.0,68.15,0.0,34880.78
2003-07-31,197.53,242.64,205.5,0.0,195.91,0.0,249.71,97.47,238.32,0.0,0.0,0.0,49.2,0.0,0.0,202.95,21183.01,999.65,4723.5,2540.61,0.0,503.04,2365.53,0.0,2528.7,0.0,68.15,0.0,34912.19
2003-08-01,196.89,242.56,205.4,0.0,195.91,0.0,249.71,98.26,240.25,0.0,0.0,0.0,49.2,0.0,0.0,202.69,21113.94,1001.09,4723.5,2540.61,0.0,507.13,2384.72,0.0,2527.4,0.0,68.15,0.0,34866.54
2003-08-04,197.04,242.91,205.26,0.0,195.14,0.0,249.71,98.26,239.81,0.0,0.0,0.0,49.2,0.0,0.0,202.7,21130.1,1002.85,4723.5,2530.61,0.0,507.13,2380.29,0.0,2525.69,0.0,68.15,0.0,34868.33
2003-08-05,196.91,243.34,205.57,0.0,194.76,0.0,249.71,98.26,243.5,0.0,0.0,0.0,49.85,0.0,0.0,202.83,21116.67,1002.85,4723.5,2525.61,0.0,507.13,2416.91,0.0,2529.51,0.0,69.04,0.0,34891.22
2003-08-06,197.06,243.34,204.67,0.0,194.76,0.0,249.71,98.26,243.42,0.0,0.0,0.0,141.48,0.0,0.0,202.75,21806.48,1002.85,4723.5,2525.61,0.0,507.13,2416.13,0.0,2546.87,0.0,489.04,0.0,36017.62
2003-08-07,198.54,243.34,204.24,0.0,194.76,0.0,249.71,98.26,242.49,0.0,0.0,0.0,141.48,0.0,0.0,203.57,21970.41,999.65,4723.5,2525.61,0.0,507.13,2406.93,0.0,2541.45,0.0,489.04,0.0,36163.73
2003-08-08,200.07,242.56,203.98,0.0,194.76,0.0,249.71,98.26,241.48,0.0,0.0,0.0,141.48,0.0,0.0,204.44,21238.86,999.65,4723.5,2525.61,0.0,507.13,2396.93,0.0,2538.29,0.0,489.04,0.0,36319.02
2003-08-11,202.01,242.56,204.06,0.0,194.76,0.0,249.71,95.88,241.74,0.0,0.0,0.0,141.74,0.0,0.0,205.63,22353.62,1004.45,4723.5,2525.61,0.0,494.85,2399.43,0.0,2539.26,0.0,489.94,0.0,36530.66
2003-08-13,202.96,243.73,204.0,0.0,194.76,0.0,249.71,95.88,241.12,0.0,0.0,0.0,141.74,0.0,0.0,206.21,22458.56,1009.25,4723.5,2525.61,0.0,489.94,2393.33,0.0,2538.53,0.0,489.94,0.0,36633.57
2003-08-14,203.69,244.89,203.88,0.0,194.76,0.0,194.76,95.88,241.37,0.0,0.0,0.0,141.74,0.0,0.0,206.57,22539.77,1010.69,4702.85,2525.61,0.0,489.94,2395.83,0.0,2536.97,0.0,489.94,0.0,36696.51
2003-08-15,205.39,244.12,204.12,0.0,194.76,0.0,194.76,95.88,241.58,0.0,0.0,0.0,141.74,0.0,0.0,207.92,22728.3,1006.05,4754.41,2525.61,0.0,489.94,2397.83,0.0,2539.96,0.0,489.94,0.0,36936.95
2003-08-18,206.34,245.63,204.21,0.0,194.37,0.0,251.35,95.88,241.26,0.0,0.0,0.0,142.25,0.0,0.0,208.52,22833.26,1012.29,4754.41,2520.61,0.0,494.85,2394.73,0.0,2541.16,0.0,491.73,0.0,37043.02
2003-08-20,207.5,245.63,204.44,0.0,194.37,0.0,251.35,95.88,241.26,0.0,0.0,0.0,142.25,0.0,0.0,209.25,22961.18,1012.29,4754.41,2520.61,0.0,494.85,2394.73,0.0,2543.96,0.0,491.73,0.0,37173.76
2003-08-21,208.37,245.28,204.98,0.0,194.37,0.0,254.12,95.88,241.01,0.0,0.0,0.0,142.25,0.0,0.0,210.11,23057.47,1010.85,4806.89,2520.61,0.0,494.85,2392.23,0.0,2550.7,0.0,491.73,0.0,37325.32
2003-08-22,208.27,245.28,205.34,0.0,194.37,0.0,257.34,95.88,241.31,0.0,0.0,0.0,142.25,0.0,0.0,210.42,23046.12,1010.85,4867.81,2520.61,0.0,494.85,2395.23,0.0,2578.15,0.0,491.73,0.0,37405.34
2003-08-25,209.67,244.89,205.27,0.0,193.22,0.0,260.51,95.88,241.31,0.0,0.0,0.0,142.25,0.0,0.0,211.54,23201.34,1009.25,4927.66,2505.71,0.0,494.85,2395.23,0.0,2577.35,0.0,491.73,0.0,37603.11
2003-08-26,209.07,246.41,204.89,0.0,193.61,0.0,260.51,95.88,241.63,0.0,0.0,0.0,142.25,0.0,0.0,211.22,23134.75,1015.49,4927.66,2510.71,0.0,494.85,2398.33,0.0,2572.54,0.0,491.73,0.0,37546.05
2003-08-27,207.15,246.41,204.68,0.0,190.82,0.0,260.51,95.88,241.63,0.0,0.0,0.0,142.25,0.0,0.0,209.81,22922.87,1015.49,4927.66,2474.62,0.0,494.85,2398.33,0.0,2569.92,0.0,491.73,0.0,37295.46
2003-08-28,201.81,246.41,204.65,0.0,190.44,0.0,261.97,95.88,241.1,0.0,0.0,0.0,142.25,0.0,0.0,206.52,22331.86,1006.05,4955.28,2469.62,0.0,494.85,2393.13,0.0,2569.52,0.0,491.73,0.0,36712.02
2003-08-29,200.0,244.12,204.57,0.0,189.67,0.0,261.97,95.88,240.6,0.0,0.0,0.0,142.25,0.0,0.0,205.32,22131.91,998.05,4955.28,2469.62,0.0,494.85,2388.13,0.0,2568.52,0.0,491.73,0.0,36498.3
2003-09-01,197.15,242.17,202.8,0.0,189.67,0.0,261.97,95.88,237.88,0.0,0.0,0.0,142.25,0.0,0.0,203.18,21815.84,993.25,4955.28,2459.62,0.0,494.85,2361.14,0.0,2546.37,0.0,491.73,0.0,36118.08
2003-09-02,196.13,241.01,201.67,0.0,189.67,0.0,261.97,95.88,237.52,0.0,0.0,0.0,142.25,0.0,0.0,202.41,21702.8,987.17,4955.28,2459.62,0.0,494.85,2357.54,0.0,2532.07,0.0,491.73,0.0,35981.06
2003-09-03,194.92,239.53,201.38,0.0,189.67,0.0,261.97,95.88,237.85,0.0,0.0,0.0,142.25,0.0,0.0,201.65,21569.77,984.29,4955.28,2459.62,0.0,494.85,2360.84,0.0,2528.47,0.0,491.73,0.0,35844.84
2003-09-04,196.11,238.84,202.27,0.0,189.67,0.0,261.97,95.88,237.82,0.0,0.0,0.0,142.25,0.0,0.0,202.45,21701.19,984.29,4955.28,2459.62,0.0,494.85,2360.54,0.0,2539.72,0.0,491.73,0.0,35987.21
2003-09-05,198.99,238.84,202.59,0.0,189.67,0.0,261.97,95.88,239.16,0.0,0.0,0.0,142.25,0.0,0.0,204.44,22020.21,1002.85,4955.28,2459.62,0.0,494.85,2373.84,0.0,2543.62,0.0,491.73,0.0,36341.99
2003-09-08,199.34,243.34,202.27,0.0,189.67,0.0,259.31,95.88,239.16,0.0,0.0,0.0,142.25,0.0,0.0,204.36,22058.93,1002.85,4905.11,2459.62,0.0,494.85,2373.84,0.0,2539.72,0.0,491.73,0.0,36326.65
2003-09-10,200.45,243.34,202.05,0.0,189.67,0.0,259.31,95.88,239.16,0.0,0.0,0.0,141.74,0.0,0.0,205.02,22181.12,1002.85,4905.11,2459.62,0.0,494.85,2373.84,0.0,2536.92,0.0,489.94,0.0,36444.25
2003-09-11,202.22,243.34,202.87,0.0,189.67,0.0,259.31,95.88,238.56,0.0,0.0,0.0,141.74,0.0,0.0,206.11,22376.76,997.09,4905.11,2459.62,0.0,494.85,2367.94,0.0,2547.23,0.0,489.94,0.0,36638.53
2003-09-12,204.57,241.94,203.17,0.0,188.9,0.0,259.31,94.29,238.77,0.0,0.0,0.0,141.74,0.0,0.0,207.54,22637.2,1003.49,4905.11,2449.72,0.0,486.66,2369.94,0.0,2550.98,0.0,489.94,0.0,36893.03
2003-09-15,205.14,243.49,204.0,0.0,188.9,0.0,259.31,94.29,239.52,0.0,0.0,0.0,141.74,0.0,0.0,208.0,22700.17,1003.49,4905.11,2449.72,0.0,486.66,2377.44,0.0,2561.38,0.0,489.94,0.0,36973.9
2003-09-16,205.6,243.94,204.11,0.0,188.9,0.0,259.31,94.29,240.08,0.0,0.0,0.0,141.74,0.0,0.0,208.32,22751.17,1002.99,4905.11,2449.72,0.0,486.66,2382.94,0.0,2562.83,0.0,489.94,0.0,37031.35
2003-09-17,205.85,243.37,204.44,0.0,188.9,0.0,259.31,94.29,239.47,0.0,0.0,0.0,141.74,0.0,0.0,208.46,22778.75,1002.99,4905.11,2449.72,0.0,486.66,2376.94,0.0,2566.95,0.0,489.94,0.0,37057.06
2003-09-18,205.21,244.54,204.16,0.0,188.9,0.0,259.31,94.29,239.47,0.0,0.0,0.0,141.74,0.0,0.0,208.07,22708.17,4905.11,2449.72,489.94,0.0,486.66,2376.94,0.0,2563.35,0.0,1007.79,0.0,36987.68
2003-09-19,204.28,244.54,205.37,0.0,188.9,0.0,259.31,94.29,239.47,0.0,0.0,0.0,141.74,0.0,0.0,207.58,22605.16,4905.11,2449.72,489.94,0.0,486.66,2376.94,0.0,2578.6,0.0,1007.79,0.0,36899.92
2003-09-22,204.04,244.54,204.94,0.0,188.9,0.0,259.31,94.29,239.97,0.0,0.0,0.0,141.74,0.0,0.0,207.43,22578.79,4905.11,2449.72,489.94,0.0,486.66,2381.94,0.0,2573.2,0.0,1007.79,0.0,36873.15
2003-09-23,204.07,244.19,204.67,0.0,188.9,0.0,259.31,94.29,239.72,0.0,0.0,0.0,141.74,0.0,0.0,207.41,22581.68,4905.11,2449.72,489.94,0.0,486.66,2379.44,0.0,2569.8,0.0,1006.35,0.0,36868.69
2003-09-24,203.58,242.25,204.97,0.0,187.85,0.0,256.15,94.29,238.22,0.0,0.0,0.0,141.61,0.0,0.0,206.58,22527.78,4845.27,2436.02,489.49,0.0,486.66,2364.54,0.0,2573.6,0.0,998.35,0.0,36721.7
2003-09-25,203.68,241.55,204.97,0.0,187.85,0.0,256.15,94.29,237.67,0.0,0.0,0.0,141.61,0.0,0.0,206.59,22538.26,4845.27,2436.02,489.49,0.0,486.66,2359.04,0.0,2573.6,0.0,995.47,0.0,36723.81
2003-09-26,204.47,241.55,205.17,0.0,187.85,0.0,256.15,94.29,237.42,0.0,0.0,0.0,141.61,0.0,0.0,207.08,22626.21,4845.27,2436.02,489.49,0.0,486.66,2356.54,0.0,2576.05,0.0,995.47,0.0,36811.71
2003-09-29,204.04,241.55,205.08,0.0,187.85,0.0,256.15,94.29,238.2,0.0,0.0,0.0,141.09,0.0,0.0,206.84,22578.63,4845.27,2436.02,487.7,0.0,486.66,2364.34,0.0,2574.9,0.0,995.47,0.0,36768.99
2003-09-30,204.03,241.55,204.95,0.0,188.23,0.0,256.15,94.29,237.8,0.0,0.0,0.0,141.09,0.0,0.0,206.83,22577.32,4845.27,2436.02,487.7,0.0,486.66,2360.34,0.0,2573.34,0.0,995.47,0.0,36767.11
2003-10-01,204.27,242.25,204.4,0.0,188.23,0.0,256.15,94.29,237.8,0.0,0.0,0.0,141.09,0.0,0.0,206.96,22604.43,4845.27,2441.02,487.7,0.0,486.66,2360.34,0.0,2566.44,0.0,998.35,0.0,36790.2
2003-10-08,203.65,242.25,204.42,0.0,188.23,0.0,256.15,94.29,237.92,0.0,0.0,0.0,141.09,0.0,0.0,206.58,22535.2,4845.27,2441.02,487.7,0.0,486.66,2361.54,0.0,2566.64,0.0,998.35,0.0,36722.37
2003-10-09,204.54,242.64,203.48,0.0,187.56,0.0,256.15,94.29,237.92,0.0,0.0,0.0,141.09,0.0,0.0,207.03,22633.74,4845.27,2441.02,487.7,0.0,486.66,2361.54,0.0,2554.84,0.0,999.95,0.0,36802.03
2003-10-10,204.55,242.64,202.86,0.0,187.18,0.0,256.15,94.29,237.31,0.0,0.0,0.0,141.09,0.0,0.0,206.93,22634.46,4845.27,2432.32,487.7,0.0,486.66,2355.54,0.0,2547.04,0.0,999.95,0.0,36783.94
2003-10-13,204.55,242.25,202.38,0.0,187.18,0.0,256.15,94.29,238.07,0.0,0.0,0.0,141.09,0.0,0.0,206.93,22635.22,4845.27,2427.32,487.7,0.0,486.66,2363.04,0.0,2541.02,0.0,998.35,0.0,36784.57
2003-10-14,204.72,242.25,202.25,0.0,187.18,0.0,256.15,94.29,238.07,0.0,0.0,0.0,141.09,0.0,0.0,207.03,22653.52,4845.27,2427.32,487.7,0.0,486.66,2363.04,0.0,2539.42,0.0,998.35,0.0,36801.28
2003-10-15,204.8,242.25,202.7,0.0,187.18,0.0,256.15,94.29,238.07,0.0,0.0,0.0,140.83,0.0,0.0,207.06,22662.12,4845.27,2427.32,486.81,0.0,486.66,2363.04,0.0,2538.42,0.0,998.35,0.0,36807.98
2003-10-16,204.09,242.25,201.9,0.0,187.18,0.0,259.27,97.99,236.88,0.0,0.0,0.0,140.83,0.0,0.0,207.6,22695.13,4904.19,2427.32,486.81,0.0,505.77,2351.19,0.0,2535.02,0.0,998.35,0.0,36903.77
2003-10-17,205.09,241.55,200.98,0.0,187.18,0.0,259.27,97.99,237.38,0.0,0.0,0.0,140.83,0.0,0.0,207.54,22694.26,4904.19,2427.32,486.81,0.0,505.77,2356.19,0.0,2523.42,0.0,995.47,0.0,36893.43
2003-10-20,205.24,241.55,206.71,0.0,187.18,0.0,259.27,97.99,237.13,0.0,0.0,0.0,140.83,0.0,0.0,208.03,22711.66,4904.19,2427.32,486.81,0.0,505.77,2353.69,0.0,2595.42,0.0,995.47,0.0,36986.33
2003-10-21,205.64,241.55,201.04,0.0,187.18,0.0,259.27,97.99,236.37,0.0,0.0,0.0,140.31,0.0,0.0,207.81,22755.11,4904.19,2427.32,485.01,0.0,505.77,2346.19,0.0,2596.82,0.0,995.47,0.0,37015.89
2003-10-22,204.54,240.5,206.77,0.0,187.18,0.0,259.27,99.58,236.62,0.0,0.0,0.0,140.31,0.0,0.0,207.58,22634.1,4904.19,2427.32,485.01,0.0,513.96,2348.69,0.0,2596.22,0.0,991.15,0.0,36900.65
2003-10-23,204.82,240.15,206.54,0.0,187.18,0.0,259.27,99.58,236.62,0.0,0.0,0.0,140.31,0.0,0.0,207.73,22664.5,4904.19,2427.32,485.01,0.0,513.96,2348.69,0.0,2593.22,0.0,989.71,0.0,36926.6
2003-10-24,205.11,240.15,206.57,0.0,187.56,0.0,259.27,99.58,236.62,0.0,0.0,0.0,140.31,0.0,0.0,207.94,22696.95,4904.19,2432.32,485.01,0.0,513.96,2348.69,0.0,2593.22,0.0,989.71,0.0,36964.05
2003-10-28,205.03,240.15,200.34,0.0,187.56,0.0,259.27,99.58,236.62,0.0,0.0,0.0,140.31,0.0,0.0,207.89,22687.79,4904.19,2432.32,485.01,0.0,513.96,2348.69,0.0,2593.62,0.0,989.71,0.0,36955.29
2003-10-29,205.18,239.7,200.29,0.0,187.18,0.0,259.27,99.58,236.62,0.0,0.0,0.0,140.31,0.0,0.0,207.49,22704.77,4904.19,2427.32,485.01,0.0,513.96,2348.69,0.0,2587.82,0.0,987.87,0.0,36959.63
2003-10-30,205.19,238.15,200.29,0.0,187.18,0.0,259.27,99.58,236.62,0.0,0.0,0.0,140.31,0.0,0.0,207.46,22705.48,4904.19,2427.32,485.01,0.0,513.96,2348.69,0.0,2587.22,0.0,981.47,0.0,36953.34
2003-10-31,205.54,237.06,199.65,0.0,187.18,0.0,259.27,99.58,236.62,0.0,0.0,0.0,140.31,0.0,0.0,207.65,22744.08,4904.19,2427.32,485.01,0.0,513.96,2348.69,0.0,2587.22,0.0,976.99,0.0,36987.47
2003-11-03,205.78,237.84,199.23,0.0,187.56,0.0,259.27,99.58,236.62,0.0,0.0,0.0,140.31,0.0,0.0,207.8,22771.35,4904.19,2432.32,485.01,0.0,513.96,2348.69,0.0,2578.87,0.0,980.19,0.0,37014.59
2003-11-04,205.87,238.23,198.35,0.0,187.56,0.0,259.27,99.58,241.26,0.0,0.0,0.0,140.31,0.0,0.0,208.1,22781.22,4904.19,2432.32,485.01,0.0,513.96,2394.67,0.0,2573.47,0.0,981.79,0.0,37066.64
2003-11-05,205.09,239.39,198.32,0.0,187.56,0.0,259.27,99.58,241.26,0.0,0.0,0.0,140.31,0.0,0.0,207.57,22694.62,4904.19,2432.32,485.01,0.0,513.96,2394.07,0.0,2562.09,0.0,986.59,0.0,36973.46
2003-11-06,204.55,237.96,198.37,0.0,187.56,0.0,259.27,103.55,241.14,0.0,0.0,0.0,140.31,0.0,0.0,207.31,22635.41,4904.19,2432.32,485.01,0.0,534.43,2393.47,0.0,2561.77,0.0,980.67,0.0,36927.28
2003-11-07,204.49,239.01,198.53,0.0,187.56,0.0,259.27,103.55,240.7,0.0,0.0,0.0,140.31,0.0,0.0,207.28,22628.33,4904.19,2432.32,485.01,0.0,534.43,2389.17,0.0,2562.37,0.0,984.99,0.0,36920.82
2003-11-10,204.26,240.95,198.76,0.0,185.55,0.0,259.27,103.55,240.7,0.0,0.0,0.0,140.31,0.0,0.0,207.04,22602.49,4904.19,2406.23,485.01,0.0,534.43,2389.17,0.0,2564.42,0.0,992.99,0.0,36878.94
2003-11-11,204.38,240.95,198.78,0.0,185.55,0.0,259.27,103.55,240.96,0.0,0.0,0.0,140.31,0.0,0.0,207.15,22616.03,4904.19,2406.23,485.01,0.0,534.43,2391.67,0.0,2567.47,0.0,992.99,0.0,36898.02
2003-11-12,204.45,243.28,199.03,0.0,185.55,0.0,259.27,103.55,240.73,0.0,0.0,0.0,140.31,0.0,0.0,207.23,22623.52,4904.19,2406.23,485.01,0.0,534.43,2389.47,0.0,2567.62,0.0,1002.59,0.0,36913.07
2003-11-13,203.76,242.11,199.03,0.0,184.4,0.0,258.73,103.55,240.99,0.0,0.0,0.0,140.31,0.0,0.0,206.67,22547.86,4893.99,2391.33,485.01,0.0,534.43,2391.97,0.0,2570.87,0.0,997.79,0.0,36813.26
2003-11-14,202.93,242.42,199.54,0.0,184.4,0.0,258.73,103.55,241.21,0.0,0.0,0.0,140.31,0.0,0.0,206.21,22455.99,4893.99,2391.33,485.01,0.0,534.43,2394.17,0.0,2577.5,0.0,999.07,0.0,36731.51
2003-11-17,203.17,242.42,199.62,0.0,184.02,0.0,258.7,103.55,240.96,0.0,0.0,0.0,140.31,0.0,0.0,206.33,22482.64,4893.99,2386.33,485.01,0.0,534.43,2391.67,0.0,2578.5,0.0,999.07,0.0,36751.65
2003-11-18,203.61,242.07,199.73,0.0,182.0,0.0,258.78,103.55,240.73,0.0,0.0,0.0,140.31,0.0,0.0,206.45,22531.2,4894.92,2360.24,485.01,0.0,534.43,2389.47,0.0,2599.9,0.0,997.63,0.0,36772.8
2003-11-19,204.15,241.68,199.12,0.0,182.0,0.0,258.78,103.55,240.73,0.0,0.0,0.0,140.31,0.0,0.0,206.72,22590.36,4894.92,2360.24,485.01,0.0,534.43,2389.47,0.0,2573.03,0.0,996.03,0.0,36822.49
2003-11-20,203.45,241.68,199.77,0.0,182.0,0.0,259.75,103.55,240.73,0.0,0.0,0.0,140.31,0.0,0.0,206.4,22513.31,4913.33,2360.24,485.01,0.0,534.43,2389.47,0.0,2572.78,0.0,996.03,0.0,36764.6
2003-11-21,202.88,241.68,199.53,0.0,182.0,0.0,259.75,103.55,240.56,0.0,0.0,0.0,140.31,0.0,0.0,206.0,22439.49,4913.33,2360.24,485.01,0.0,534.43,2387.76,0.0,2577.38,0.0,996.03,0.0,36693.68
2003-11-24,202.46,241.68,200.42,0.0,181.43,0.0,259.75,103.55,240.81,0.0,0.0,0.0,140.31,0.0,0.0,205.83,22403.83,4913.33,2352.79,485.01,0.0,534.43,2390.26,0.0,2586.58,0.0,996.43,0.0,36662.66
2003-11-25,204.3,241.78,199.84,0.0,181.81,0.0,259.75,103.55,239.07,0.0,0.0,0.0,140.31,0.0,0.0,207.01,22607.63,4913.33,2357.79,485.01,0.0,534.43,2390.26,0.0,2588.88,0.0,996.43,0.0,36873.77
2003-11-26,204.72,241.78,199.79,0.0,181.81,0.0,259.75,103.55,238.81,0.0,0.0,0.0,140.31,0.0,0.0,207.13,22653.95,4913.33,2359.79,485.01,0.0,534.43,2372.91,0.0,2581.32,0.0,996.43,0.0,36895.18
2003-11-27,204.19,239.55,199.73,0.0,182.2,0.0,251.63,103.55,139.52,0.0,0.0,0.0,140.31,0.0,0.0,206.76,22594.61,4913.33,2362.79,485.01,0.0,534.43,2370.41,0.0,2580.77,0.0,987.23,0.0,36828.59
2003-11-28,203.75,239.55,199.48,0.0,182.2,0.0,251.63,103.55,239.52,0.0,0.0,0.0,140.31,0.0,0.0,205.66,22546.4,4759.73,2362.79,485.01,0.0,534.43,2377.4,0.0,2579.97,0.0,987.23,0.0,36632.96
2003-12-01,202.76,239.55,199.67,0.0,182.2,0.0,251.63,103.55,238.86,0.0,0.0,0.0,140.31,0.0,0.0,205.03,22436.74,4759.73,2362.79,485.01,0.0,534.43,2377.4,0.0,2576.74,0.0,987.23,0.0,36520.08
2003-12-02,205.09,238.05,199.72,0.0,182.2,0.0,251.63,103.55,238.07,0.0,0.0,0.0,140.31,0.0,0.0,204.96,22435.39,4759.73,2362.79,485.01,0.0,534.43,2370.87,0.0,2579.17,0.0,981.07,0.0,36508.46
2003-12-03,204.55,238.4,199.66,0.0,182.87,0.0,251.63,103.55,238.83,0.0,0.0,0.0,140.31,0.0,0.0,205.36,22502.53,4759.73,2371.49,485.01,0.0,534.43,2363.07,0.0,2579.77,0.0,982.51,0.0,36578.54
2003-12-04,204.49,238.4,199.46,0.0,182.87,0.0,247.25,103.55,237.57,0.0,0.0,0.0,140.31,0.0,0.0,205.18,22469.88,4759.73,2371.49,485.01,0.0,534.43,2365.57,0.0,2579.07,0.0,982.51,0.0,36547.69
2003-12-05,202.14,238.4,197.5,0.0,182.87,0.0,257.05,103.55,237.82,0.0,0.0,0.0,140.31,0.0,0.0,204.09,22368.76,4676.86,2371.49,485.01,0.0,534.43,2358.07,0.0,2576.52,0.0,982.51,0.0,36353.65
2003-12-08,204.44,238.4,197.26,0.0,183.26,0.0,257.35,103.55,237.57,0.0,0.0,0.0,140.31,0.0,0.0,206.28,22623.08,4676.86,2376.49,485.01,0.0,534.43,2360.57,0.0,2551.12,0.0,982.51,0.0,36590.07
2003-12-09,204.73,238.48,196.82,0.0,182.87,0.0,257.35,103.55,237.21,0.0,0.0,0.0,140.31,0.0,0.0,206.4,22654.32,4676.86,2371.49,485.01,0.0,534.43,2358.07,0.0,2547.99,0.0,982.83,0.0,36611.01
2003-12-10,204.71,238.87,197.1,0.0,182.87,0.0,257.35,103.55,236.32,0.0,0.0,0.0,140.31,0.0,0.0,206.35,22653.14,4676.86,2371.49,485.01,0.0,534.43,2354.52,0.0,2542.34,0.0,984.43,0.0,36602.23
2003-12-11,204.66,238.52,197.14,0.0,184.88,0.0,257.35,103.55,236.06,0.0,0.0,0.0,140.31,0.0,0.0,206.42,22647.08,4676.86,2397.58,485.01,0.0,534.43,2345.62,0.0,2545.99,0.0,982.99,0.0,36615.57
2003-12-12,197.49,239.3,196.47,0.0,184.88,0.0,265.71,94.29,236.06,0.0,0.0,0.0,140.31,0.0,0.0,202.47,22367.09,4828.65,2397.58,485.01,0.0,486.66,2343.12,0.0,2546.54,0.0,986.19,0.0,36440.84
2003-12-15,196.74,238.95,196.47,0.0,184.88,0.0,265.71,94.29,236.06,0.0,0.0,0.0,140.31,0.0,0.0,201.94,22282.34,4828.65,2397.58,485.01,0.0,486.66,2343.12,0.0,2537.89,0.0,984.75,0.0,36346.0
2003-12-16,196.42,138.83,197.15,0.0,186.89,0.0,265.45,94.29,235.56,0.0,0.0,0.0,140.31,0.0,0.0,201.88,22245.74,4824.05,2423.67,485.01,0.0,486.66,2338.12,0.0,2546.64,0.0,984.25,0.0,36334.14
2003-12-17,195.82,239.18,196.97,0.0,186.89,0.0,265.45,94.29,235.56,0.0,0.0,0.0,140.31,0.0,0.0,201.5,22173.12,4824.05,2423.67,485.01,0.0,486.66,2338.12,0.0,2544.34,0.0,985.69,0.0,36265.66
2003-12-18,195.76,239.87,195.64,0.0,188.91,0.0,265.45,94.29,236.06,0.0,0.0,0.0,140.31,0.0,0.0,201.56,22171.59,4824.05,2449.76,485.01,0.0,486.66,2343.12,0.0,2527.14,0.0,988.57,0.0,36275.9
2003-12-19,195.7,239.87,195.7,0.0,188.91,0.0,265.45,94.29,236.32,0.0,0.0,0.0,140.31,0.0,0.0,201.54,22164.87,4824.05,2449.76,485.01,0.0,486.66,2345.62,0.0,2527.94,0.0,988.57,0.0,36272.48
2003-12-22,195.63,240.65,195.73,0.0,188.91,0.0,265.45,94.29,236.32,0.0,0.0,0.0,140.31,0.0,0.0,201.51,22156.83,4824.05,2449.76,485.01,0.0,486.66,2345.62,0.0,2528.29,0.0,991.77,0.0,36267.99
2003-12-23,195.26,241.35,195.73,0.0,188.91,0.0,265.45,94.29,236.32,0.0,0.0,0.0,140.31,0.0,0.0,201.29,22114.29,4824.05,2449.76,485.01,0.0,486.66,2345.62,0.0,2528.26,0.0,994.65,0.0,36228.31
2003-12-24,195.09,241.35,195.82,0.0,188.91,0.0,265.45,94.29,237.07,0.0,0.0,0.0,139.79,0.0,0.0,201.22,22094.94,4824.05,2449.76,483.22,0.0,486.66,2353.12,0.0,2529.46,0.0,994.65,0.0,36215.87
